ID,date,clusterN,p,RR_C,RR_L
41023,2021-01-01,1.0,2.0,,
48259,2021-01-01,1.0,1.0,,
19157,2021-01-01,1.0,1.0,,
19061,2021-01-01,1.0,1.0,,
40033,2021-01-01,3.0,2.0,,
26143,2021-01-01,1.0,1.0,,
13019,2021-01-01,4.0,1.0,1.28,1.25
26075,2021-01-01,1.0,1.0,,
37031,2021-01-01,3.0,1.0,,
26009,2021-01-01,1.0,2.0,,
47099,2021-01-01,4.0,1.0,1.37,1.54
51145,2021-01-01,2.0,1.0,,
27139,2021-01-01,1.0,1.0,,
6043,2021-01-01,3.0,1.0,,
8023,2021-01-01,1.0,2.0,,
13199,2021-01-01,4.0,2.0,,
48381,2021-01-01,2.0,1.0,,
19065,2021-01-01,2.0,1.0,,
26015,2021-01-01,1.0,1.0,,
54061,2021-01-01,4.0,1.0,1.26,0.9
13319,2021-01-01,4.0,2.0,,
13137,2021-01-01,4.0,1.0,1.32,1.5
48143,2021-01-01,4.0,1.0,1.32,1.18
16039,2021-01-01,1.0,3.0,,
28139,2021-01-01,4.0,1.0,,
49003,2021-01-01,1.0,1.0,,
27027,2021-01-01,1.0,1.0,,
20059,2021-01-01,4.0,2.0,1.37,1.7
26085,2021-01-01,1.0,2.0,,
28019,2021-01-01,4.0,1.0,1.2,1.13
13277,2021-01-01,4.0,2.0,1.28,1.47
46077,2021-01-01,1.0,2.0,,
56009,2021-01-01,1.0,2.0,,
38047,2021-01-01,2.0,1.0,,
26135,2021-01-01,1.0,2.0,,
26119,2021-01-01,1.0,2.0,,
31045,2021-01-01,1.0,2.0,,
27025,2021-01-01,1.0,1.0,,
19011,2021-01-01,1.0,1.0,,
27107,2021-01-01,1.0,2.0,,
31143,2021-01-01,1.0,1.0,,
1083,2021-01-01,4.0,2.0,1.37,1.18
37193,2021-01-01,4.0,1.0,1.14,0.88
6053,2021-01-01,4.0,2.0,,
55137,2021-01-01,1.0,1.0,,
20001,2021-01-01,4.0,2.0,1.37,1.21
30031,2021-01-01,2.0,1.0,,
47009,2021-01-01,4.0,2.0,1.37,1.57
8113,2021-01-01,1.0,1.0,,
22035,2021-01-01,4.0,1.0,,
16069,2021-01-01,1.0,2.0,,
48237,2021-01-01,4.0,2.0,1.32,0.89
38011,2021-01-01,1.0,3.0,,
32023,2021-01-01,1.0,1.0,,
40019,2021-01-01,4.0,2.0,,
38029,2021-01-01,1.0,3.0,,
55003,2021-01-01,1.0,2.0,,
47173,2021-01-01,4.0,1.0,,
1095,2021-01-01,4.0,1.0,1.37,1.07
38089,2021-01-01,1.0,3.0,,
31041,2021-01-01,1.0,3.0,,
8043,2021-01-01,2.0,2.0,1.71,1.71
27005,2021-01-01,1.0,2.0,,
26053,2021-01-01,1.0,2.0,,
46129,2021-01-01,1.0,1.0,,
35007,2021-01-01,1.0,3.0,,
27171,2021-01-01,1.0,1.0,,
48461,2021-01-01,1.0,2.0,1.65,0.83
48383,2021-01-01,1.0,1.0,1.65,0.5
8059,2021-01-01,1.0,2.0,,
26013,2021-01-01,1.0,1.0,,
27133,2021-01-01,1.0,1.0,,
41003,2021-01-01,1.0,1.0,,
26131,2021-01-01,1.0,3.0,,
27067,2021-01-01,1.0,2.0,,
26071,2021-01-01,1.0,3.0,,
37159,2021-01-01,4.0,1.0,1.14,1.26
38015,2021-01-01,1.0,3.0,,
37013,2021-01-01,4.0,1.0,,
18047,2021-01-01,4.0,1.0,1.22,0.87
8081,2021-01-01,1.0,2.0,,
46087,2021-01-01,1.0,2.0,,
30033,2021-01-01,1.0,3.0,,
17055,2021-01-01,4.0,1.0,,
29005,2021-01-01,1.0,2.0,,
28071,2021-01-01,4.0,2.0,,
28003,2021-01-01,4.0,1.0,,
48271,2021-01-01,3.0,1.0,,
13013,2021-01-01,4.0,2.0,1.32,1.34
26033,2021-01-01,1.0,1.0,,
13293,2021-01-01,4.0,1.0,,
27143,2021-01-01,1.0,1.0,,
38021,2021-01-01,2.0,1.0,,
48367,2021-01-01,4.0,2.0,1.32,1.62
35047,2021-01-01,1.0,2.0,,
31157,2021-01-01,1.0,2.0,,
32021,2021-01-01,1.0,1.0,,
5141,2021-01-01,3.0,1.0,1.15,0.67
20035,2021-01-01,4.0,2.0,1.37,1.65
48083,2021-01-01,4.0,1.0,,
4017,2021-01-01,4.0,1.0,,
30011,2021-01-01,1.0,2.0,,
40029,2021-01-01,4.0,1.0,,
46119,2021-01-01,1.0,1.0,,
16013,2021-01-01,1.0,2.0,,
27165,2021-01-01,1.0,1.0,,
47089,2021-01-01,4.0,2.0,,
8013,2021-01-01,1.0,1.0,,
48029,2021-01-01,2.0,2.0,1.09,1.09
27071,2021-01-01,1.0,2.0,,
39111,2021-01-01,4.0,1.0,,
16077,2021-01-01,1.0,1.0,,
51073,2021-01-01,1.0,1.0,,
31087,2021-01-01,1.0,1.0,,
31099,2021-01-01,1.0,1.0,,
18051,2021-01-01,4.0,1.0,1.38,1.05
1125,2021-01-01,4.0,1.0,1.2,1.2
49011,2021-01-01,2.0,1.0,,
37025,2021-01-01,4.0,1.0,,
