ID,RR_C,RR_L,date
26033,2.56,1.2,2022-01-01
17199,2.56,1.82,2022-01-01
51683,2.56,1.87,2022-01-01
38099,2.56,0.71,2022-01-01
51580,2.56,0.28,2022-01-01
51685,2.56,0.057,2022-01-01
29041,2.56,1.19,2022-01-01
21051,2.56,0.61,2022-01-01
46079,2.56,1.03,2022-01-01
36087,2.56,2.39,2022-01-01
51600,2.56,0.66,2022-01-01
46083,2.56,1.12,2022-01-01
46037,2.56,1.03,2022-01-01
51113,2.56,1.36,2022-01-01
17157,2.56,1.34,2022-01-01
38067,2.56,1.1,2022-01-01
50009,2.56,1.24,2022-01-01
21193,2.56,1.45,2022-01-01
19193,2.56,0.9,2022-01-01
51005,2.56,1.2,2022-01-01
24510,2.56,2.32,2022-01-01
36079,2.56,2.45,2022-01-01
21061,2.56,0.72,2022-01-01
29027,2.56,1.04,2022-01-01
51027,2.56,0.89,2022-01-01
19173,2.56,0.69,2022-01-01
51013,2.56,2.14,2022-01-01
19133,2.56,0.79,2022-01-01
21001,2.56,1.19,2022-01-01
33019,2.56,2.48,2022-01-01
24015,2.56,0.94,2022-01-01
51079,2.56,0.98,2022-01-01
17069,2.56,1.65,2022-01-01
51047,2.56,1.71,2022-01-01
21125,2.56,1.08,2022-01-01
21199,2.56,1.08,2022-01-01
51153,2.56,1.63,2022-01-01
51610,2.56,1.28,2022-01-01
29099,2.56,1.55,2022-01-01
51059,2.56,1.35,2022-01-01
54047,2.56,1.29,2022-01-01
34035,2.56,2.44,2022-01-01
51790,2.56,1.18,2022-01-01
42017,2.56,1.57,2022-01-01
34031,2.56,2.91,2022-01-01
19165,2.56,1.28,2022-01-01
46057,2.56,1.47,2022-01-01
42029,2.56,1.67,2022-01-01
25003,2.56,1.48,2022-01-01
21149,2.56,1.29,2022-01-01
21225,2.56,1.94,2022-01-01
29175,2.56,1.22,2022-01-01
21183,2.56,1.24,2022-01-01
29079,2.56,1.19,2022-01-01
24027,2.56,1.47,2022-01-01
19029,2.56,0.7,2022-01-01
21045,2.56,0.76,2022-01-01
51017,2.56,0.81,2022-01-01
21195,2.56,1.05,2022-01-01
29219,2.56,1.48,2022-01-01
54109,2.56,1.23,2022-01-01
17059,2.56,1.26,2022-01-01
24005,2.56,1.58,2022-01-01
36027,2.56,1.9,2022-01-01
21119,2.56,0.74,2022-01-01
42091,2.56,1.62,2022-01-01
19003,2.56,0.9,2022-01-01
21233,2.56,0.67,2022-01-01
38091,2.56,0.11,2022-01-01
29081,2.56,1.84,2022-01-01
46091,2.56,0.58,2022-01-01
54089,2.56,1.11,2022-01-01
51015,2.56,1.33,2022-01-01
21087,2.56,1.04,2022-01-01
21099,2.56,1.15,2022-01-01
38081,2.56,1.05,2022-01-01
34027,2.56,2.82,2022-01-01
17165,2.56,1.52,2022-01-01
46099,2.56,1.29,2022-01-01
19149,2.56,0.87,2022-01-01
38073,2.56,0.89,2022-01-01
24025,2.56,1.49,2022-01-01
51061,2.56,1.63,2022-01-01
50025,2.56,1.66,2022-01-01
17133,2.56,1.63,2022-01-01
34019,2.56,2.01,2022-01-01
42045,2.56,1.73,2022-01-01
29115,2.56,0.66,2022-01-01
54063,2.56,2.15,2022-01-01
51820,2.56,0.95,2022-01-01
