ID,RR_C,RR_L,date
37147,1.25,1.25,44197
37139,1.52,1.52,44197
37075,1.37,1.18,44197
37039,1.37,0.76,44197
37017,1.29,1.03,44197
37047,1.29,1.25,44197
37163,1.29,1.16,44197
37155,1.29,1.43,44197
37095,2.69,2.69,44197
37023,1.14,1.3,44197
37197,1.14,0.98,44197
37097,1.14,1.02,44197
37035,1.14,1.3,44197
37199,1.14,1.13,44197
37111,1.14,1.37,44197
37059,1.14,1.12,44197
37109,1.14,1.29,44197
37115,1.14,0.56,44197
37159,1.14,1.26,44197
37045,1.14,1.29,44197
37161,1.14,1.51,44197
37067,1.14,0.93,44197
37169,1.14,0.94,44197
37121,1.14,0.96,44197
37009,1.14,0.77,44197
37171,1.14,1.15,44197
37003,1.14,1.54,44197
37189,1.14,0.61,44197
37027,1.14,1.6,44197
37193,1.14,0.88,44197
37005,1.14,1.5,44197
37011,1.14,0.97,44197
37071,1.14,1.35,44197
37155,1.31,1.49,44198
37163,1.31,1.11,44198
37047,1.31,1.26,44198
37017,1.31,1.06,44198
37095,2.78,2.78,44198
37147,1.29,1.29,44198
37139,1.34,1.34,44198
37113,1.27,0.95,44198
37043,1.27,0.61,44198
37099,1.27,0.91,44198
37115,1.27,0.59,44198
37087,1.27,0.83,44198
37173,1.27,1.35,44198
37039,1.27,0.78,44198
37075,1.27,1.26,44198
37111,1.27,1.36,44198
37149,1.27,0.75,44198
37089,1.27,0.99,44198
37021,1.27,0.85,44198
37175,1.27,0.68,44198
37121,1.27,0.94,44198
37199,1.27,1.04,44198
37099,1.23,0.88,44199
37173,1.23,1.38,44199
37087,1.23,1.01,44199
37175,1.23,0.74,44199
37117,1.27,1.48,44199
37015,1.27,0.87,44199
37147,1.27,1.28,44199
37095,2.74,2.74,44199
37101,1.18,1.18,44199
37139,1.3,1.3,44199
37043,1.23,0.74,44199
37113,1.23,1.1,44199
37075,1.23,1.42,44199
37039,1.23,0.85,44199
37121,1.27,0.77,44200
37045,1.27,1.5,44200
37161,1.27,1.65,44200
37199,1.27,0.63,44200
37111,1.27,1.49,44200
37187,1.33,1.48,44200
37049,1.33,0.98,44200
37117,1.33,1.82,44200
37147,1.33,1.36,44200
37095,1.33,2.76,44200
37137,1.33,0.5,44200
37013,1.33,1.73,44200
37075,1.27,1.36,44200
37113,1.27,1.2,44200
37039,1.27,0.9,44200
37043,1.27,0.84,44200
37089,1.27,0.94,44200
37021,1.27,0.87,44200
37115,1.27,0.67,44200
37149,1.27,0.97,44200
37099,1.27,0.92,44200
37173,1.27,1.32,44200
37175,1.27,0.76,44200
37087,1.27,1.08,44200
37095,1.34,2.83,44201
37117,1.34,1.9,44201
37147,1.34,1.37,44201
37013,1.34,1.76,44201
37137,1.34,0.5,44201
37187,1.34,1.47,44201
37049,1.34,0.98,44201
37043,1.28,0.93,44201
37039,1.28,0.93,44201
37173,1.28,1.32,44201
37113,1.28,1.24,44201
37075,1.28,1.35,44201
37021,1.28,0.88,44201
37115,1.28,0.7,44201
37149,1.28,1.04,44201
37121,1.28,0.74,44201
37045,1.28,1.54,44201
37161,1.28,1.69,44201
37111,1.28,1.54,44201
37199,1.28,0.63,44201
37175,1.28,0.76,44201
37099,1.28,0.98,44201
37087,1.28,1.12,44201
37089,1.28,0.95,44201
37013,1.35,1.78,44202
37137,1.35,0.5,44202
37187,1.35,1.46,44202
37049,1.35,0.98,44202
37117,1.35,1.94,44202
37147,1.35,1.38,44202
37095,1.35,2.92,44202
37089,1.27,0.96,44202
37021,1.27,0.88,44202
37115,1.27,0.73,44202
37149,1.27,1.08,44202
37175,1.27,0.75,44202
37087,1.27,1.14,44202
37045,1.27,1.57,44202
37121,1.27,0.72,44202
37011,1.27,0.71,44202
37023,1.27,1.16,44202
37161,1.27,1.71,44202
