fips,date,RR,state,code
54,2021-01-01,1.051090909,West Virginia,WV
54,2021-01-02,1.054181818,West Virginia,WV
54,2021-01-03,1.060727273,West Virginia,WV
54,2021-01-04,1.071090909,West Virginia,WV
54,2021-01-05,1.078363636,West Virginia,WV
54,2021-01-06,1.084727273,West Virginia,WV
54,2021-01-07,1.090363636,West Virginia,WV
54,2021-01-08,1.092363636,West Virginia,WV
54,2021-01-09,1.097818182,West Virginia,WV
54,2021-01-10,1.1,West Virginia,WV
54,2021-01-11,1.102909091,West Virginia,WV
54,2021-01-12,1.105272727,West Virginia,WV
54,2021-01-13,1.107090909,West Virginia,WV
54,2021-01-14,1.108727273,West Virginia,WV
54,2021-01-15,1.109454545,West Virginia,WV
54,2021-01-16,1.109636364,West Virginia,WV
54,2021-01-17,1.108363636,West Virginia,WV
54,2021-01-18,1.108,West Virginia,WV
54,2021-01-19,1.108909091,West Virginia,WV
54,2021-01-20,1.108545455,West Virginia,WV
54,2021-01-21,1.109272727,West Virginia,WV
54,2021-01-22,1.110363636,West Virginia,WV
54,2021-01-23,1.109454545,West Virginia,WV
54,2021-01-24,1.107454545,West Virginia,WV
54,2021-01-25,1.104545455,West Virginia,WV
54,2021-01-26,1.095272727,West Virginia,WV
54,2021-01-27,1.086727273,West Virginia,WV
54,2021-01-28,1.079818182,West Virginia,WV
54,2021-01-29,1.072727273,West Virginia,WV
54,2021-01-30,1.064181818,West Virginia,WV
54,2021-01-31,1.056909091,West Virginia,WV
54,2021-02-01,1.05,West Virginia,WV
54,2021-02-02,1.041636364,West Virginia,WV
54,2021-02-03,1.034909091,West Virginia,WV
54,2021-02-04,1.023636364,West Virginia,WV
54,2021-02-05,1.010727273,West Virginia,WV
54,2021-02-06,0.999454545,West Virginia,WV
54,2021-02-07,0.986545455,West Virginia,WV
54,2021-02-08,0.974727273,West Virginia,WV
54,2021-02-09,0.964909091,West Virginia,WV
54,2021-02-10,0.951818182,West Virginia,WV
54,2021-02-11,0.940181818,West Virginia,WV
54,2021-02-12,0.930181818,West Virginia,WV
54,2021-02-13,0.918545455,West Virginia,WV
54,2021-02-14,0.908727273,West Virginia,WV
54,2021-02-15,0.899272727,West Virginia,WV
54,2021-02-16,0.892181818,West Virginia,WV
54,2021-02-17,0.882909091,West Virginia,WV
54,2021-02-18,0.876727273,West Virginia,WV
54,2021-02-19,0.87,West Virginia,WV
54,2021-02-20,0.859272727,West Virginia,WV
54,2021-02-21,0.848727273,West Virginia,WV
54,2021-02-22,0.834727273,West Virginia,WV
54,2021-02-23,0.822727273,West Virginia,WV
54,2021-02-24,0.809818182,West Virginia,WV
54,2021-02-25,0.798181818,West Virginia,WV
54,2021-02-26,0.789454545,West Virginia,WV
54,2021-02-27,0.780181818,West Virginia,WV
54,2021-02-28,0.771454545,West Virginia,WV
54,2021-03-01,0.761454545,West Virginia,WV
54,2021-03-02,0.750727273,West Virginia,WV
54,2021-03-03,0.739454545,West Virginia,WV
54,2021-03-04,0.726363636,West Virginia,WV
54,2021-03-05,0.711818182,West Virginia,WV
54,2021-03-06,0.701090909,West Virginia,WV
54,2021-03-07,0.688363636,West Virginia,WV
54,2021-03-08,0.678545455,West Virginia,WV
54,2021-03-09,0.668909091,West Virginia,WV
54,2021-03-10,0.663636364,West Virginia,WV
54,2021-03-11,0.657727273,West Virginia,WV
54,2021-03-12,0.649763636,West Virginia,WV
54,2021-03-13,0.645981818,West Virginia,WV
54,2021-03-14,0.642545455,West Virginia,WV
54,2021-03-15,0.639090909,West Virginia,WV
54,2021-03-16,0.639090909,West Virginia,WV
54,2021-03-17,0.640363636,West Virginia,WV
54,2021-03-18,0.645818182,West Virginia,WV
54,2021-03-19,0.651745455,West Virginia,WV
54,2021-03-20,0.658145455,West Virginia,WV
54,2021-03-21,0.666163636,West Virginia,WV
54,2021-03-22,0.674418182,West Virginia,WV
54,2021-03-23,0.683909091,West Virginia,WV
54,2021-03-24,0.692,West Virginia,WV
54,2021-03-25,0.701072727,West Virginia,WV
54,2021-03-26,0.709981818,West Virginia,WV
54,2021-03-27,0.718727273,West Virginia,WV
54,2021-03-28,0.726854545,West Virginia,WV
