ID,RR_C,RR_L,date
55079000700,15.21,33.65,2021-06-02
55079006000,27.24,50.98,2021-06-02
55079009300,27.24,0.0,2021-06-02
55079009100,27.24,51.93,2021-06-02
55079009200,27.24,0.0,2021-06-02
55129950600,6.88,28.32,2021-06-02
55005000900,6.88,24.71,2021-06-02
55017011200,6.88,0.0,2021-06-02
55005000300,6.88,0.0,2021-06-02
55017011000,6.88,16.73,2021-06-02
55113940000,6.88,0.0,2021-06-02
55129950300,6.88,0.0,2021-06-02
55129950500,6.88,0.0,2021-06-02
55107960100,6.88,34.76,2021-06-02
55005000400,6.88,0.0,2021-06-02
55113100700,6.88,0.0,2021-06-02
55005001001,6.88,0.0,2021-06-02
55107960300,6.88,0.0,2021-06-02
55017011100,6.88,0.0,2021-06-02
55005000100,6.88,0.0,2021-06-02
55107960400,6.88,0.0,2021-06-02
55005000500,6.88,0.0,2021-06-02
55107960500,6.88,0.0,2021-06-02
55005001002,6.88,0.0,2021-06-02
55005000600,6.88,0.0,2021-06-02
55005000800,6.88,0.0,2021-06-02
55113100400,6.88,55.07,2021-06-02
55107960200,6.88,0.0,2021-06-02
55079050101,15.21,21.91,2021-06-02
55079000800,15.21,0.0,2021-06-02
55079000102,15.21,0.0,2021-06-02
55079000600,15.21,17.54,2021-06-02
55013970400,23.73,36.13,2021-06-03
55129950100,23.73,0.0,2021-06-03
55129950600,23.73,31.95,2021-06-03
55129950200,23.73,0.0,2021-06-03
55047100100,30.71,42.36,2021-06-03
55079000700,26.22,37.96,2021-06-03
55047100300,30.71,46.11,2021-06-03
55079000600,26.22,19.79,2021-06-03
55047100200,30.71,0.0,2021-06-03
55073000800,5.22,0.0,2021-06-04
55073000602,5.22,0.0,2021-06-04
55073000601,5.22,0.0,2021-06-04
55073001103,5.22,28.63,2021-06-04
55141010200,5.22,0.0,2021-06-04
55005000900,29.22,29.22,2021-06-04
55061960500,8.13,0.0,2021-06-04
55009020600,8.13,27.38,2021-06-04
55061960400,8.13,0.0,2021-06-04
55071010100,8.13,0.0,2021-06-04
55071010200,8.13,0.0,2021-06-04
55009020100,8.13,23.87,2021-06-04
55073001400,5.22,20.68,2021-06-04
55063010202,21.67,21.67,2021-06-04
55017011000,19.78,19.78,2021-06-04
55087013100,5.06,12.16,2021-06-04
55087940000,5.06,0.0,2021-06-04
55009940001,5.06,7.8,2021-06-04
55009940002,5.06,0.0,2021-06-04
55009020504,5.06,0.0,2021-06-04
55115101100,5.06,0.0,2021-06-04
55087012901,5.06,0.0,2021-06-04
55009021600,5.06,0.0,2021-06-04
55009940003,5.06,0.0,2021-06-04
55009021302,5.06,0.0,2021-06-04
55087012800,5.06,18.42,2021-06-04
55073000900,5.22,0.0,2021-06-04
55101001705,26.16,26.16,2021-06-04
55073001104,5.22,0.0,2021-06-04
55141010100,5.22,0.0,2021-06-04
55073001000,5.22,0.0,2021-06-04
55073002000,5.22,0.0,2021-06-04
55079000700,19.34,39.78,2021-06-04
55079000600,19.34,20.74,2021-06-04
55079000102,19.34,0.0,2021-06-04
55079000800,19.34,14.45,2021-06-04
55047100300,32.33,48.33,2021-06-04
55047100100,32.33,44.4,2021-06-04
55129950200,24.98,0.0,2021-06-04
55129950100,24.98,0.0,2021-06-04
55013970400,24.98,37.86,2021-06-04
55129950600,24.98,33.49,2021-06-04
55079002500,68.08,68.08,2021-06-04
55039041400,11.44,12.47,2021-06-04
55047100200,32.33,0.0,2021-06-04
55039040300,11.44,0.0,2021-06-04
55039041300,11.44,10.74,2021-06-04
55073001300,5.22,0.0,2021-06-04
55073001900,5.22,0.0,2021-06-04
55073001201,5.22,0.0,2021-06-04
55073001202,5.22,0.0,2021-06-04
55097960200,5.22,30.52,2021-06-04
55079100900,36.5,36.5,2021-06-04
55043960700,36.75,36.75,2021-06-04
55079021500,48.19,48.19,2021-06-04
55039040400,11.44,53.08,2021-06-04
55039040700,11.44,0.0,2021-06-04
55073001800,5.22,0.0,2021-06-04
55071010200,8.36,0.0,2021-06-05
55073001400,5.36,21.3,2021-06-05
55071010100,8.36,0.0,2021-06-05
55061960400,8.36,0.0,2021-06-05
55009020600,8.36,28.2,2021-06-05
55061960500,8.36,0.0,2021-06-05
55141010200,5.36,0.0,2021-06-05
55073001104,5.36,0.0,2021-06-05
55073000601,5.36,0.0,2021-06-05
55073000602,5.36,0.0,2021-06-05
55073001000,5.36,0.0,2021-06-05
55073000800,5.36,0.0,2021-06-05
55073000900,5.36,0.0,2021-06-05
55073002000,5.36,0.0,2021-06-05
55009020100,8.36,24.59,2021-06-05
55073001103,5.36,29.49,2021-06-05
55005000900,30.09,30.09,2021-06-05
55001950700,17.62,0.0,2021-06-05
55059002906,28.24,28.24,2021-06-05
55141010100,5.36,0.0,2021-06-05
55025001403,17.03,17.03,2021-06-05
55077960500,17.62,41.15,2021-06-05
55001950501,17.62,0.0,2021-06-05
55001950400,17.62,32.85,2021-06-05
55001950502,17.62,0.0,2021-06-05
55109121000,20.14,20.14,2021-06-05
55105002601,29.39,29.39,2021-06-05
55017011000,20.37,20.37,2021-06-05
55079000800,11.79,14.9,2021-06-05
55079000102,11.79,0.0,2021-06-05
55079000600,11.79,10.62,2021-06-05
55079000700,11.79,20.38,2021-06-05
55063010402,12.24,7.8,2021-06-05
55063010203,12.24,0.0,2021-06-05
55063010202,12.24,22.32,2021-06-05
55059002000,24.91,24.91,2021-06-05
55073001300,5.36,0.0,2021-06-05
55039041400,17.82,25.85,2021-06-05
55073001201,5.36,0.0,2021-06-05
55047100100,33.22,45.73,2021-06-05
55047100200,33.22,0.0,2021-06-05
55047100300,33.22,49.77,2021-06-05
55113100300,17.49,31.87,2021-06-05
55129950500,17.49,0.0,2021-06-05
55013970600,17.49,0.0,2021-06-05
55129950300,17.49,0.0,2021-06-05
55129950600,17.49,34.49,2021-06-05
55013970400,17.49,38.99,2021-06-05
55129950100,17.49,0.0,2021-06-05
55073001900,5.36,0.0,2021-06-05
55039040400,17.82,54.66,2021-06-05
55039040700,17.82,0.0,2021-06-05
55039040300,17.82,0.0,2021-06-05
55039041300,17.82,22.26,2021-06-05
55079002700,24.92,0.0,2021-06-05
55079002600,24.92,0.0,2021-06-05
55129950200,17.49,0.0,2021-06-05
55079002800,24.92,0.0,2021-06-05
55079004000,24.92,56.06,2021-06-05
55097960200,5.36,31.43,2021-06-05
55073001800,5.36,0.0,2021-06-05
55079100900,37.59,37.59,2021-06-05
55043960700,37.85,37.85,2021-06-05
55009940001,10.32,8.03,2021-06-05
55087940000,10.32,0.0,2021-06-05
55073001202,5.36,0.0,2021-06-05
55079021500,49.62,49.62,2021-06-05
55101001202,12.07,22.59,2021-06-05
55101001100,12.07,0.0,2021-06-05
55101001602,12.07,0.0,2021-06-05
55101001706,12.07,0.0,2021-06-05
55101001705,12.07,26.94,2021-06-05
55087013100,10.32,25.2,2021-06-05
55079002500,24.92,70.11,2021-06-05
55061960400,8.74,0.0,2021-06-06
55009020600,8.74,29.41,2021-06-06
55061960500,8.74,0.0,2021-06-06
55077960500,18.46,42.95,2021-06-06
55001950501,18.46,0.0,2021-06-06
55001950502,18.46,0.0,2021-06-06
55001950700,18.46,0.0,2021-06-06
55079100900,39.22,39.22,2021-06-06
55009940001,10.79,8.38,2021-06-06
55071010100,8.74,0.0,2021-06-06
55001950400,18.46,34.29,2021-06-06
