FPIS,Observed,Expected,OE,RR,date
55001950100,0,0.047,0.0,0.0,2021-06-02
55089630201,0,0.076,0.0,0.0,2021-06-02
55089630100,0,0.046,0.0,0.0,2021-06-02
55089620100,0,0.099,0.0,0.0,2021-06-02
55089610102,0,0.064,0.0,0.0,2021-06-02
55089610101,0,0.073,0.0,0.0,2021-06-02
55087940000,0,0.078,0.0,0.0,2021-06-02
55087013300,0,0.12,0.0,0.0,2021-06-02
55087013200,0,0.064,0.0,0.0,2021-06-02
55087013100,0,0.098,0.0,0.0,2021-06-02
55087012902,0,0.059,0.0,0.0,2021-06-02
55087012901,0,0.1,0.0,0.0,2021-06-02
55087012800,0,0.13,0.0,0.0,2021-06-02
55087012700,0,0.1,0.0,0.0,2021-06-02
55087012602,0,0.081,0.0,0.0,2021-06-02
55087012601,1,0.16,6.23,6.29,2021-06-02
55087012506,0,0.066,0.0,0.0,2021-06-02
55087012505,0,0.081,0.0,0.0,2021-06-02
55089630202,0,0.087,0.0,0.0,2021-06-02
55089640100,0,0.094,0.0,0.0,2021-06-02
55089640200,0,0.14,0.0,0.0,2021-06-02
55089650101,0,0.1,0.0,0.0,2021-06-02
55093960700,0,0.08,0.0,0.0,2021-06-02
55093960600,0,0.08,0.0,0.0,2021-06-02
55093960500,0,0.13,0.0,0.0,2021-06-02
55093960400,0,0.09,0.0,0.0,2021-06-02
55093960300,0,0.091,0.0,0.0,2021-06-02
55093960200,0,0.1,0.0,0.0,2021-06-02
55093960100,0,0.048,0.0,0.0,2021-06-02
55091950200,0,0.053,0.0,0.0,2021-06-02
55087012504,0,0.054,0.0,0.0,2021-06-02
55091950100,0,0.066,0.0,0.0,2021-06-02
55089660303,0,0.083,0.0,0.0,2021-06-02
55089660301,0,0.097,0.0,0.0,2021-06-02
55089660202,0,0.097,0.0,0.0,2021-06-02
55089660201,0,0.067,0.0,0.0,2021-06-02
55089660100,0,0.052,0.0,0.0,2021-06-02
55089650300,0,0.092,0.0,0.0,2021-06-02
55089650200,0,0.083,0.0,0.0,2021-06-02
55089650102,1,0.047,21.24,21.45,2021-06-02
55089660304,0,0.052,0.0,0.0,2021-06-02
55087012503,0,0.061,0.0,0.0,2021-06-02
55087012400,0,0.053,0.0,0.0,2021-06-02
55087012300,0,0.026,0.0,0.0,2021-06-02
55087010200,0,0.074,0.0,0.0,2021-06-02
55087010100,0,0.048,0.0,0.0,2021-06-02
55085971500,0,0.073,0.0,0.0,2021-06-02
55085971400,0,0.059,0.0,0.0,2021-06-02
55085971300,0,0.029,0.0,0.0,2021-06-02
55085971100,0,0.035,0.0,0.0,2021-06-02
55085971002,0,0.039,0.0,0.0,2021-06-02
55085971001,0,0.022,0.0,0.0,2021-06-02
55087010300,0,0.041,0.0,0.0,2021-06-02
55085970900,0,0.036,0.0,0.0,2021-06-02
55085970602,0,0.058,0.0,0.0,2021-06-02
55085970601,0,0.034,0.0,0.0,2021-06-02
55085970500,0,0.032,0.0,0.0,2021-06-02
55085970400,0,0.047,0.0,0.0,2021-06-02
55085970102,0,0.053,0.0,0.0,2021-06-02
55085970101,0,0.027,0.0,0.0,2021-06-02
55083101300,0,0.15,0.0,0.0,2021-06-02
55083101200,0,0.068,0.0,0.0,2021-06-02
55085970800,0,0.037,0.0,0.0,2021-06-02
55093960800,0,0.059,0.0,0.0,2021-06-02
55087010500,0,0.071,0.0,0.0,2021-06-02
55087010602,0,0.064,0.0,0.0,2021-06-02
55087012200,0,0.032,0.0,0.0,2021-06-02
55087012100,0,0.13,0.0,0.0,2021-06-02
55087012000,0,0.11,0.0,0.0,2021-06-02
55087011900,0,0.14,0.0,0.0,2021-06-02
55087011800,0,0.034,0.0,0.0,2021-06-02
55087011700,0,0.04,0.0,0.0,2021-06-02
55087011600,0,0.12,0.0,0.0,2021-06-02
55087011502,0,0.071,0.0,0.0,2021-06-02
55087010601,0,0.063,0.0,0.0,2021-06-02
55087011501,0,0.057,0.0,0.0,2021-06-02
55087011300,0,0.05,0.0,0.0,2021-06-02
55087011200,0,0.048,0.0,0.0,2021-06-02
55087011102,0,0.12,0.0,0.0,2021-06-02
55087011101,0,0.078,0.0,0.0,2021-06-02
55087011000,0,0.096,0.0,0.0,2021-06-02
55087010900,0,0.036,0.0,0.0,2021-06-02
55087010800,0,0.025,0.0,0.0,2021-06-02
55087010700,0,0.069,0.0,0.0,2021-06-02
55087011400,0,0.091,0.0,0.0,2021-06-02
55083101100,0,0.075,0.0,0.0,2021-06-02
55095960100,1,0.06,16.71,16.88,2021-06-02
55095960300,0,0.09,0.0,0.0,2021-06-02
55101001900,0,0.065,0.0,0.0,2021-06-02
55101001802,0,0.047,0.0,0.0,2021-06-02
55101001801,0,0.084,0.0,0.0,2021-06-02
55101001706,0,0.061,0.0,0.0,2021-06-02
55101001705,2,0.091,21.9,22.35,2021-06-02
55101001703,0,0.073,0.0,0.0,2021-06-02
55101001702,2,0.11,18.22,18.59,2021-06-02
55101001701,0,0.061,0.0,0.0,2021-06-02
55101001602,0,0.047,0.0,0.0,2021-06-02
55101001601,0,0.11,0.0,0.0,2021-06-02
55101001505,0,0.069,0.0,0.0,2021-06-02
55101001504,0,0.046,0.0,0.0,2021-06-02
55101001502,0,0.11,0.0,0.0,2021-06-02
55101001501,0,0.061,0.0,0.0,2021-06-02
55101001400,0,0.11,0.0,0.0,2021-06-02
55101001302,0,0.073,0.0,0.0,2021-06-02
55101001301,0,0.068,0.0,0.0,2021-06-02
55101002001,0,0.053,0.0,0.0,2021-06-02
55101002002,0,0.08,0.0,0.0,2021-06-02
55101002100,0,0.054,0.0,0.0,2021-06-02
55101002401,0,0.092,0.0,0.0,2021-06-02
55105000700,0,0.068,0.0,0.0,2021-06-02
55105000600,0,0.058,0.0,0.0,2021-06-02
55105000500,0,0.069,0.0,0.0,2021-06-02
55105000400,0,0.06,0.0,0.0,2021-06-02
55105000300,0,0.047,0.0,0.0,2021-06-02
55105000200,0,0.046,0.0,0.0,2021-06-02
55105000100,0,0.017,0.0,0.0,2021-06-02
55103970500,0,0.067,0.0,0.0,2021-06-02
55101001202,0,0.11,0.0,0.0,2021-06-02
55103970400,0,0.056,0.0,0.0,2021-06-02
55103970200,1,0.077,13.01,13.14,2021-06-02
55103970100,0,0.049,0.0,0.0,2021-06-02
55101980000,0,0.015,0.0,0.0,2021-06-02
55101002800,0,0.1,0.0,0.0,2021-06-02
55101002702,0,0.098,0.0,0.0,2021-06-02
55101002701,0,0.064,0.0,0.0,2021-06-02
55101002600,0,0.097,0.0,0.0,2021-06-02
55101002402,0,0.089,0.0,0.0,2021-06-02
55103970300,0,0.039,0.0,0.0,2021-06-02
55101001201,0,0.056,0.0,0.0,2021-06-02
55101001100,0,0.1,0.0,0.0,2021-06-02
55101001003,0,0.07,0.0,0.0,2021-06-02
55097961000,0,0.044,0.0,0.0,2021-06-02
55097960900,0,0.053,0.0,0.0,2021-06-02
55097960800,0,0.087,0.0,0.0,2021-06-02
55097960702,0,0.056,0.0,0.0,2021-06-02
55097960701,0,0.084,0.0,0.0,2021-06-02
55097960600,0,0.087,0.0,0.0,2021-06-02
55097960500,0,0.12,0.0,0.0,2021-06-02
55097960400,0,0.11,0.0,0.0,2021-06-02
55097961100,0,0.12,0.0,0.0,2021-06-02
55097960300,1,0.063,15.85,16.01,2021-06-02
55097960100,0,0.075,0.0,0.0,2021-06-02
55095961100,0,0.063,0.0,0.0,2021-06-02
55095961000,0,0.075,0.0,0.0,2021-06-02
55095960900,0,0.084,0.0,0.0,2021-06-02
55095960800,0,0.1,0.0,0.0,2021-06-02
55095960700,3,0.096,31.41,32.4,2021-06-02
55095960600,0,0.036,0.0,0.0,2021-06-02
55095960500,0,0.047,0.0,0.0,2021-06-02
55097960200,2,0.078,25.55,26.08,2021-06-02
55095960200,0,0.062,0.0,0.0,2021-06-02
55097961200,0,0.099,0.0,0.0,2021-06-02
55099970100,0,0.04,0.0,0.0,2021-06-02
55101001002,0,0.044,0.0,0.0,2021-06-02
55101001001,0,0.037,0.0,0.0,2021-06-02
55101000904,0,0.083,0.0,0.0,2021-06-02
55101000903,0,0.066,0.0,0.0,2021-06-02
55101000901,0,0.061,0.0,0.0,2021-06-02
55101000800,0,0.065,0.0,0.0,2021-06-02
55101000700,0,0.095,0.0,0.0,2021-06-02
55101000600,0,0.079,0.0,0.0,2021-06-02
55097961300,0,0.082,0.0,0.0,2021-06-02
55101000500,0,0.084,0.0,0.0,2021-06-02
55101000300,0,0.06,0.0,0.0,2021-06-02
55101000200,0,0.093,0.0,0.0,2021-06-02
55101000100,0,0.017,0.0,0.0,2021-06-02
55099970700,0,0.038,0.0,0.0,2021-06-02
55099970600,0,0.037,0.0,0.0,2021-06-02
55099970500,0,0.033,0.0,0.0,2021-06-02
55099970400,0,0.029,0.0,0.0,2021-06-02
55099970200,0,0.044,0.0,0.0,2021-06-02
55101000400,0,0.06,0.0,0.0,2021-06-02
55105000800,0,0.063,0.0,0.0,2021-06-02
55083101000,0,0.065,0.0,0.0,2021-06-02
55083100800,0,0.04,0.0,0.0,2021-06-02
55079060102,0,0.051,0.0,0.0,2021-06-02
55079060101,0,0.066,0.0,0.0,2021-06-02
55079050102,0,0.11,0.0,0.0,2021-06-02
55079050101,1,0.092,10.85,10.95,2021-06-02
55079040100,0,0.024,0.0,0.0,2021-06-02
55079035200,0,0.073,0.0,0.0,2021-06-02
55079035100,0,0.037,0.0,0.0,2021-06-02
55079030100,0,0.073,0.0,0.0,2021-06-02
55079021800,0,0.039,0.0,0.0,2021-06-02
55079021700,0,0.11,0.0,0.0,2021-06-02
55079021600,0,0.079,0.0,0.0,2021-06-02
55079021500,0,0.05,0.0,0.0,2021-06-02
55079021400,0,0.057,0.0,0.0,2021-06-02
55079021300,0,0.029,0.0,0.0,2021-06-02
55079021200,0,0.037,0.0,0.0,2021-06-02
55079021100,0,0.024,0.0,0.0,2021-06-02
55079021000,0,0.036,0.0,0.0,2021-06-02
55079060200,0,0.097,0.0,0.0,2021-06-02
55079070100,0,0.071,0.0,0.0,2021-06-02
55079070200,0,0.081,0.0,0.0,2021-06-02
55079070300,0,0.079,0.0,0.0,2021-06-02
55079100200,0,0.068,0.0,0.0,2021-06-02
55079100100,0,0.061,0.0,0.0,2021-06-02
55079091400,0,0.039,0.0,0.0,2021-06-02
55079091300,0,0.062,0.0,0.0,2021-06-02
55079091200,0,0.085,0.0,0.0,2021-06-02
