ID,RR_C,RR_L,date
54554,1.73,1.52,2021-12-01
53939,1.73,2.32,2021-12-01
54755,1.73,2.03,2021-12-01
54005,1.73,2.2,2021-12-01
54642,1.73,1.25,2021-12-01
53023,1.73,0.48,2021-12-01
53948,1.73,2.44,2021-12-01
54751,1.73,1.93,2021-12-01
53926,1.73,0.71,2021-12-01
54810,1.73,2.33,2021-12-01
53065,1.73,0.58,2021-12-01
54747,1.73,1.5,2021-12-01
54656,1.73,1.57,2021-12-01
54749,1.73,3.23,2021-12-01
54853,1.73,2.12,2021-12-01
53930,1.73,1.59,2021-12-01
54734,1.73,3.39,2021-12-01
54872,1.73,1.85,2021-12-01
53946,1.73,1.51,2021-12-01
53953,1.73,1.99,2021-12-01
53952,1.73,1.51,2021-12-01
54660,1.73,1.56,2021-12-01
53947,1.73,0.0,2021-12-01
53020,1.73,1.3,2021-12-01
53931,1.73,0.0,2021-12-01
54935,1.73,1.5,2021-12-01
53015,1.73,1.34,2021-12-01
53919,1.73,1.15,2021-12-01
54837,1.73,1.64,2021-12-01
53079,1.73,1.32,2021-12-01
54616,1.73,0.86,2021-12-01
54937,1.73,1.33,2021-12-01
53057,1.73,1.05,2021-12-01
54637,1.73,2.54,2021-12-01
53083,1.73,1.47,2021-12-01
54725,1.73,3.19,2021-12-01
53920,1.73,2.02,2021-12-01
53073,1.73,1.61,2021-12-01
53044,1.73,1.4,2021-12-01
53933,1.73,1.0,2021-12-01
54648,1.73,1.69,2021-12-01
53011,1.73,2.03,2021-12-01
54612,1.73,1.16,2021-12-01
54824,1.73,2.43,2021-12-01
53923,1.73,1.67,2021-12-01
53010,1.73,1.22,2021-12-01
54028,1.73,1.94,2021-12-01
53048,1.73,1.35,2021-12-01
53956,1.73,1.26,2021-12-01
53901,1.73,1.34,2021-12-01
53093,1.73,1.66,2021-12-01
54630,1.73,1.26,2021-12-01
53954,1.73,1.62,2021-12-01
54736,1.73,1.81,2021-12-01
54027,1.73,2.94,2021-12-01
53085,1.73,1.48,2021-12-01
53963,1.73,1.17,2021-12-01
54013,1.73,1.84,2021-12-01
53965,1.73,1.88,2021-12-01
54001,1.73,2.17,2021-12-01
54627,1.73,1.51,2021-12-01
54670,1.73,1.38,2021-12-01
54858,1.73,1.96,2021-12-01
53944,1.73,1.13,2021-12-01
54638,1.73,1.71,2021-12-01
54737,1.73,0.0,2021-12-01
53929,1.73,2.36,2021-12-01
54644,1.73,1.04,2021-12-01
53006,1.73,2.1,2021-12-01
53935,1.73,0.78,2021-12-01
54007,1.73,2.04,2021-12-01
53019,1.73,1.77,2021-12-01
53922,1.73,1.15,2021-12-01
54773,1.73,1.47,2021-12-01
53950,1.73,2.1,2021-12-01
54241,1.73,1.37,2021-12-01
54207,1.73,0.0,2021-12-01
54960,1.73,0.95,2021-12-01
54813,1.73,2.36,2021-12-01
54703,1.73,1.59,2021-12-01
54666,1.73,1.25,2021-12-01
54733,1.73,0.76,2021-12-01
53014,1.73,1.77,2021-12-01
54902,1.73,1.37,2021-12-01
54758,1.73,2.4,2021-12-01
53934,1.73,0.72,2021-12-01
54829,1.73,2.22,2021-12-01
54964,1.73,0.82,2021-12-01
54763,1.73,1.67,2021-12-01
54730,1.73,1.97,2021-12-01
54646,1.73,2.43,2021-12-01
54611,1.73,1.74,2021-12-01
54214,1.73,0.0,2021-12-01
54765,1.73,0.0,2021-12-01
54160,1.73,0.0,2021-12-01
53088,1.73,0.0,2021-12-01
54904,1.73,1.44,2021-12-01
54930,1.73,0.87,2021-12-01
54934,1.73,0.0,2021-12-01
54923,1.73,1.14,2021-12-01
54874,1.73,0.86,2021-12-01
54230,1.73,1.49,2021-12-01
54247,1.73,1.5,2021-12-01
54613,1.73,1.37,2021-12-01
54812,1.73,1.83,2021-12-01
54980,1.73,0.0,2021-12-01
54871,1.73,4.66,2021-12-01
54720,1.73,1.83,2021-12-01
54635,1.73,1.16,2021-12-01
54974,1.73,1.44,2021-12-01
54701,1.73,1.28,2021-12-01
54615,1.73,1.44,2021-12-01
53910,1.73,1.01,2021-12-01
53936,1.73,0.81,2021-12-01
53042,1.73,1.69,2021-12-01
53049,1.73,1.07,2021-12-01
54826,1.73,0.95,2021-12-01
54738,1.73,1.27,2021-12-01
54760,1.73,0.0,2021-12-01
54932,1.73,1.74,2021-12-01
54889,1.73,2.51,2021-12-01
54893,1.73,1.53,2021-12-01
54004,1.73,2.97,2021-12-01
53063,1.73,1.01,2021-12-01
54659,1.73,1.13,2021-12-01
