ID,RR_C,RR_L,date
55085,1.71,1.3,2021-12-01
55061,1.71,1.36,2021-12-01
55031,1.71,1.85,2021-12-01
55057,1.71,1.89,2021-12-01
55033,1.71,2.08,2021-12-01
55015,1.71,1.51,2021-12-01
55077,1.71,1.26,2021-12-01
55121,1.71,1.35,2021-12-01
55081,1.71,1.37,2021-12-01
55047,1.71,1.08,2021-12-01
55013,1.71,1.75,2021-12-01
55071,1.71,1.47,2021-12-01
55095,1.71,2.08,2021-12-01
55091,1.71,1.15,2021-12-01
55139,1.71,1.38,2021-12-01
55039,1.71,1.22,2021-12-01
55109,1.71,2.21,2021-12-01
55021,1.71,1.05,2021-12-01
55093,1.71,1.83,2021-12-01
55117,1.71,1.45,2021-12-01
55111,1.71,1.22,2021-12-01
55123,1.71,1.19,2021-12-01
55027,1.71,1.5,2021-12-01
55127,1.22,1.21,2021-12-01
55101,1.22,1.21,2021-12-01
55059,1.22,1.09,2021-12-01
55105,1.22,1.14,2021-12-01
55133,1.22,1.26,2021-12-01
55055,1.22,1.33,2021-12-01
55063,1.71,1.23,2021-12-01
55001,1.71,0.97,2021-12-01
55011,1.71,1.33,2021-12-01
55053,1.71,1.18,2021-12-01
55029,1.71,0.86,2021-12-01
55069,1.71,1.07,2021-12-01
55041,1.71,1.19,2021-12-01
55067,1.71,1.23,2021-12-01
55099,1.71,1.59,2021-12-01
55051,1.71,0.57,2021-12-01
55037,1.71,0.75,2021-12-01
55073,1.71,1.77,2021-12-01
55119,1.71,1.32,2021-12-01
55078,1.71,0.47,2021-12-01
55003,1.71,1.07,2021-12-01
55115,1.71,1.2,2021-12-01
55075,1.71,1.9,2021-12-01
55083,1.71,1.22,2021-12-01
55125,1.71,0.99,2021-12-01
55107,1.71,0.85,2021-12-01
55113,1.71,2.3,2021-12-01
55009,1.71,1.5,2021-12-01
55137,1.71,0.98,2021-12-01
55129,1.71,2.19,2021-12-01
55035,1.71,1.36,2021-12-01
55087,1.71,1.47,2021-12-01
55005,1.71,1.73,2021-12-01
55017,1.71,1.44,2021-12-01
55141,1.71,1.87,2021-12-01
55135,1.71,1.46,2021-12-01
55019,1.71,1.37,2021-12-01
55097,1.71,1.39,2021-12-01
55007,1.71,1.37,2021-12-01
55095,1.73,2.07,2021-12-02
55071,1.73,1.45,2021-12-02
