ID,RR_C,RR_L,date
54437,2.14,3.68,2021-12-01
53581,2.14,2.25,2021-12-01
54810,2.14,0.0,2021-12-01
54875,2.14,0.0,2021-12-01
53961,2.14,0.0,2021-12-01
54022,2.14,1.43,2021-12-01
54558,2.14,5.61,2021-12-01
54655,2.14,0.0,2021-12-01
54940,2.14,0.0,2021-12-01
54517,2.14,0.0,2021-12-01
54961,2.14,1.65,2021-12-01
54026,2.14,0.0,2021-12-01
54933,2.14,0.0,2021-12-01
54017,2.14,2.5,2021-12-01
54465,2.14,0.0,2021-12-01
54023,2.14,2.68,2021-12-01
54871,2.14,3.74,2021-12-01
54922,2.14,0.0,2021-12-01
53930,2.14,0.0,2021-12-01
53949,2.14,0.0,2021-12-01
54001,2.14,1.41,2021-12-01
54929,2.14,1.29,2021-12-01
54624,2.14,0.0,2021-12-01
54014,2.14,0.0,2021-12-01
54568,2.14,2.2,2021-12-01
54491,2.14,0.0,2021-12-01
54166,2.14,2.03,2021-12-01
54888,2.14,0.0,2021-12-01
53951,2.14,0.0,2021-12-01
54009,2.14,0.0,2021-12-01
53947,2.14,0.0,2021-12-01
54858,2.14,0.0,2021-12-01
54512,2.14,0.0,2021-12-01
54931,2.14,0.0,2021-12-01
53901,2.14,3.81,2021-12-01
54021,2.14,0.0,2021-12-01
54016,2.14,1.05,2021-12-01
54968,2.14,0.0,2021-12-01
54645,2.14,0.0,2021-12-01
54545,2.14,0.0,2021-12-01
54560,2.14,0.0,2021-12-01
53943,2.14,0.0,2021-12-01
53913,2.14,4.34,2021-12-01
54520,2.14,2.62,2021-12-01
54135,2.14,0.0,2021-12-01
53937,2.14,0.0,2021-12-01
54628,2.14,0.0,2021-12-01
54801,2.14,0.0,2021-12-01
54923,2.14,1.25,2021-12-01
54547,2.14,0.0,2021-12-01
54845,2.14,0.0,2021-12-01
54527,2.14,13.1,2021-12-01
53920,2.14,0.0,2021-12-01
53965,2.14,0.0,2021-12-01
54829,2.14,4.4,2021-12-01
54501,2.14,2.82,2021-12-01
54632,2.14,0.0,2021-12-01
54665,2.14,2.76,2021-12-01
