ID,Observed,Expected,OE,RR_L,date
53001,1,0.39,2.57,2.57,2021-12-01
54512,0,0.18,0.0,0.0,2021-12-01
54513,0,0.081,0.0,0.0,2021-12-01
54514,0,0.37,0.0,0.0,2021-12-01
54515,0,0.093,0.0,0.0,2021-12-01
54517,0,0.022,0.0,0.0,2021-12-01
54519,2,0.26,7.64,7.65,2021-12-01
54520,2,0.89,2.26,2.26,2021-12-01
54521,6,1.63,3.67,3.68,2021-12-01
54524,0,0.13,0.0,0.0,2021-12-01
54511,0,0.25,0.0,0.0,2021-12-01
54525,0,0.051,0.0,0.0,2021-12-01
54527,1,0.18,5.64,5.65,2021-12-01
54529,0,0.25,0.0,0.0,2021-12-01
54530,0,0.17,0.0,0.0,2021-12-01
54531,0,0.29,0.0,0.0,2021-12-01
54534,0,0.47,0.0,0.0,2021-12-01
54536,0,0.035,0.0,0.0,2021-12-01
54537,0,0.1,0.0,0.0,2021-12-01
54538,0,0.61,0.0,0.0,2021-12-01
54539,1,0.26,3.82,3.83,2021-12-01
54526,1,0.15,6.59,6.6,2021-12-01
54540,0,0.19,0.0,0.0,2021-12-01
54501,6,4.13,1.45,1.46,2021-12-01
54498,0,0.49,0.0,0.0,2021-12-01
54471,0,0.37,0.0,0.0,2021-12-01
54473,0,0.55,0.0,0.0,2021-12-01
54474,0,0.8,0.0,0.0,2021-12-01
54475,0,0.33,0.0,0.0,2021-12-01
54476,9,3.93,2.29,2.3,2021-12-01
54479,1,0.82,1.22,1.22,2021-12-01
54480,2,0.29,6.86,6.87,2021-12-01
54481,12,5.91,2.03,2.04,2021-12-01
54482,2,2.07,0.97,0.97,2021-12-01
54499,0,0.62,0.0,0.0,2021-12-01
54484,2,1.06,1.89,1.89,2021-12-01
54486,0,0.4,0.0,0.0,2021-12-01
54487,4,1.96,2.04,2.04,2021-12-01
54488,1,0.25,3.98,3.98,2021-12-01
54489,1,0.34,2.91,2.92,2021-12-01
54490,0,0.16,0.0,0.0,2021-12-01
54491,0,0.32,0.0,0.0,2021-12-01
54493,0,0.12,0.0,0.0,2021-12-01
54494,13,5.49,2.37,2.38,2021-12-01
54495,3,1.51,1.98,1.98,2021-12-01
54485,0,0.079,0.0,0.0,2021-12-01
54470,1,0.42,2.37,2.37,2021-12-01
54541,1,0.27,3.7,3.7,2021-12-01
54545,0,0.17,0.0,0.0,2021-12-01
54613,0,0.34,0.0,0.0,2021-12-01
54614,0,0.55,0.0,0.0,2021-12-01
54615,0,2.18,0.0,0.0,2021-12-01
54616,0,0.55,0.0,0.0,2021-12-01
54618,1,0.48,2.1,2.11,2021-12-01
54619,1,0.81,1.24,1.24,2021-12-01
54621,2,0.3,6.6,6.61,2021-12-01
54622,0,0.39,0.0,0.0,2021-12-01
54623,2,0.44,4.52,4.52,2021-12-01
54612,0,1.05,0.0,0.0,2021-12-01
54624,0,0.29,0.0,0.0,2021-12-01
54626,0,0.28,0.0,0.0,2021-12-01
54627,0,0.35,0.0,0.0,2021-12-01
54628,0,0.2,0.0,0.0,2021-12-01
54629,0,0.54,0.0,0.0,2021-12-01
54630,0,0.86,0.0,0.0,2021-12-01
54631,0,0.35,0.0,0.0,2021-12-01
54632,0,0.23,0.0,0.0,2021-12-01
54634,4,0.93,4.32,4.33,2021-12-01
54635,0,0.37,0.0,0.0,2021-12-01
54625,0,0.05,0.0,0.0,2021-12-01
54542,0,0.083,0.0,0.0,2021-12-01
54611,2,0.24,8.47,8.48,2021-12-01
54603,2,2.91,0.69,0.69,2021-12-01
54546,1,0.23,4.32,4.33,2021-12-01
54547,0,0.28,0.0,0.0,2021-12-01
54548,2,1.0,1.99,2.0,2021-12-01
54550,1,0.14,7.4,7.4,2021-12-01
54552,2,0.84,2.38,2.38,2021-12-01
54554,0,0.22,0.0,0.0,2021-12-01
54555,4,0.99,4.05,4.06,2021-12-01
54556,0,0.24,0.0,0.0,2021-12-01
54557,2,0.17,11.55,11.56,2021-12-01
54610,1,0.34,2.93,2.94,2021-12-01
54558,2,0.41,4.84,4.84,2021-12-01
54560,0,0.12,0.0,0.0,2021-12-01
54562,0,0.38,0.0,0.0,2021-12-01
54563,1,0.16,6.19,6.2,2021-12-01
54564,0,0.082,0.0,0.0,2021-12-01
54565,0,0.0081,0.0,0.0,2021-12-01
54566,0,0.26,0.0,0.0,2021-12-01
54568,1,1.06,0.95,0.95,2021-12-01
54601,10,10.42,0.96,0.96,2021-12-01
54559,0,0.18,0.0,0.0,2021-12-01
54469,0,0.35,0.0,0.0,2021-12-01
54467,5,2.91,1.72,1.72,2021-12-01
54466,0,0.57,0.0,0.0,2021-12-01
54220,11,8.06,1.36,1.37,2021-12-01
54227,0,0.32,0.0,0.0,2021-12-01
54228,1,0.57,1.75,1.75,2021-12-01
54229,2,1.05,1.91,1.91,2021-12-01
54230,1,0.98,1.02,1.02,2021-12-01
54232,0,0.17,0.0,0.0,2021-12-01
54234,1,0.34,2.94,2.94,2021-12-01
54235,4,3.48,1.15,1.15,2021-12-01
54241,3,2.9,1.04,1.04,2021-12-01
54217,1,1.51,0.66,0.66,2021-12-01
54245,2,0.43,4.68,4.69,2021-12-01
54247,0,0.41,0.0,0.0,2021-12-01
54301,4,4.44,0.9,0.9,2021-12-01
54302,5,6.54,0.76,0.76,2021-12-01
54303,8,5.67,1.41,1.41,2021-12-01
54304,3,5.65,0.53,0.53,2021-12-01
54307,0,0.24,0.0,0.0,2021-12-01
54311,5,7.5,0.67,0.67,2021-12-01
54313,4,8.03,0.5,0.5,2021-12-01
54401,12,6.31,1.9,1.91,2021-12-01
54246,0,0.18,0.0,0.0,2021-12-01
54403,12,5.07,2.37,2.38,2021-12-01
54216,2,1.29,1.55,1.55,2021-12-01
54213,0,0.28,0.0,0.0,2021-12-01
54165,2,1.58,1.27,1.27,2021-12-01
54166,4,3.44,1.16,1.16,2021-12-01
54169,1,0.57,1.74,1.74,2021-12-01
54170,0,0.74,0.0,0.0,2021-12-01
54171,0,0.76,0.0,0.0,2021-12-01
54173,1,0.91,1.09,1.09,2021-12-01
54174,1,0.62,1.61,1.61,2021-12-01
54175,0,0.19,0.0,0.0,2021-12-01
54177,0,0.58,0.0,0.0,2021-12-01
54214,0,0.053,0.0,0.0,2021-12-01
54180,0,0.72,0.0,0.0,2021-12-01
54202,0,0.27,0.0,0.0,2021-12-01
54204,0,0.33,0.0,0.0,2021-12-01
54205,1,0.43,2.3,2.3,2021-12-01
54207,0,0.03,0.0,0.0,2021-12-01
54208,2,1.33,1.5,1.5,2021-12-01
54209,0,0.27,0.0,0.0,2021-12-01
54210,0,0.16,0.0,0.0,2021-12-01
54211,0,0.054,0.0,0.0,2021-12-01
54212,0,0.21,0.0,0.0,2021-12-01
54201,1,1.06,0.94,0.94,2021-12-01
54405,1,0.63,1.58,1.58,2021-12-01
54406,1,0.71,1.41,1.41,2021-12-01
54407,0,0.3,0.0,0.0,2021-12-01
54441,0,0.19,0.0,0.0,2021-12-01
54442,1,0.24,4.17,4.17,2021-12-01
54443,0,0.44,0.0,0.0,2021-12-01
54446,2,0.64,3.13,3.13,2021-12-01
54447,0,0.091,0.0,0.0,2021-12-01
54448,3,0.91,3.3,3.31,2021-12-01
54449,4,5.29,0.76,0.76,2021-12-01
54450,1,0.094,10.63,10.64,2021-12-01
54451,7,2.36,2.97,2.98,2021-12-01
54440,2,0.61,3.27,3.27,2021-12-01
54452,8,3.8,2.1,2.11,2021-12-01
54455,15,3.76,3.99,4.03,2021-12-01
54456,2,1.22,1.64,1.64,2021-12-01
54457,3,1.69,1.78,1.78,2021-12-01
54458,0,0.02,0.0,0.0,2021-12-01
54459,1,0.26,3.91,3.91,2021-12-01
54460,2,0.55,3.65,3.65,2021-12-01
54462,0,0.074,0.0,0.0,2021-12-01
54463,0,0.12,0.0,0.0,2021-12-01
54465,0,0.1,0.0,0.0,2021-12-01
54454,0,0.28,0.0,0.0,2021-12-01
54437,2,0.63,3.17,3.18,2021-12-01
54436,1,0.5,2.02,2.02,2021-12-01
54435,3,0.42,7.14,7.16,2021-12-01
54408,0,0.21,0.0,0.0,2021-12-01
54409,7,2.67,2.63,2.63,2021-12-01
54410,2,0.54,3.73,3.73,2021-12-01
54411,3,1.08,2.78,2.78,2021-12-01
54412,0,0.42,0.0,0.0,2021-12-01
54413,0,0.031,0.0,0.0,2021-12-01
54414,2,0.73,2.75,2.75,2021-12-01
54416,0,0.37,0.0,0.0,2021-12-01
54417,0,0.0081,0.0,0.0,2021-12-01
54418,0,0.2,0.0,0.0,2021-12-01
54420,0,0.26,0.0,0.0,2021-12-01
54421,2,0.76,2.64,2.64,2021-12-01
54422,0,0.27,0.0,0.0,2021-12-01
54423,0,0.49,0.0,0.0,2021-12-01
54424,2,0.32,6.32,6.33,2021-12-01
54425,2,0.43,4.62,4.62,2021-12-01
54426,3,0.94,3.2,3.21,2021-12-01
54427,0,0.24,0.0,0.0,2021-12-01
54428,0,0.21,0.0,0.0,2021-12-01
54430,0,0.032,0.0,0.0,2021-12-01
54433,1,0.39,2.6,2.6,2021-12-01
54636,1,3.02,0.33,0.33,2021-12-01
54638,0,0.35,0.0,0.0,2021-12-01
54639,1,0.56,1.79,1.79,2021-12-01
54642,0,0.44,0.0,0.0,2021-12-01
54870,1,0.32,3.13,3.13,2021-12-01
54871,1,0.62,1.61,1.61,2021-12-01
54872,1,0.55,1.8,1.8,2021-12-01
54873,3,0.6,5.0,5.01,2021-12-01
54874,0,0.81,0.0,0.0,2021-12-01
54875,0,0.22,0.0,0.0,2021-12-01
54876,1,0.27,3.67,3.68,2021-12-01
54880,2,6.18,0.32,0.32,2021-12-01
54888,0,0.27,0.0,0.0,2021-12-01
54868,2,3.15,0.63,0.63,2021-12-01
54889,1,0.55,1.83,1.83,2021-12-01
54893,1,0.77,1.31,1.31,2021-12-01
54895,0,0.2,0.0,0.0,2021-12-01
54896,1,0.29,3.39,3.39,2021-12-01
54901,9,7.81,1.15,1.15,2021-12-01
54902,3,4.63,0.65,0.65,2021-12-01
54904,8,4.45,1.8,1.8,2021-12-01
54909,1,0.44,2.26,2.26,2021-12-01
54911,7,5.45,1.29,1.29,2021-12-01
54913,2,4.45,0.45,0.45,2021-12-01
54891,0,0.7,0.0,0.0,2021-12-01
