ID,RR_C,RR_L,date
55079180200,2.94,2.61,2022-01-01
55009010202,1.31,2.36,2022-01-01
55009021500,1.31,0.56,2022-01-01
55115100200,1.31,0.97,2022-01-01
55025002200,1.31,1.58,2022-01-01
55071010700,1.31,1.27,2022-01-01
55025013100,1.31,1.05,2022-01-01
55025002603,1.31,2.18,2022-01-01
55025011102,1.31,0.81,2022-01-01
55025010200,1.31,1.25,2022-01-01
55025002601,1.31,1.61,2022-01-01
55027961900,1.31,1.55,2022-01-01
55009940002,1.31,1.86,2022-01-01
55073002100,1.31,0.84,2022-01-01
55009010201,1.31,1.02,2022-01-01
55009021304,1.31,1.75,2022-01-01
55025002100,1.31,1.12,2022-01-01
55025003002,1.31,0.97,2022-01-01
55009021302,1.31,1.94,2022-01-01
55027962000,1.31,0.65,2022-01-01
55055100400,1.31,1.19,2022-01-01
55025002000,1.31,1.73,2022-01-01
55073001400,1.31,1.45,2022-01-01
55025002700,1.31,1.66,2022-01-01
55025011101,1.31,1.79,2022-01-01
55055100200,1.31,1.46,2022-01-01
55025003001,1.31,2.44,2022-01-01
55131410100,1.31,1.14,2022-01-01
55073000400,1.31,1.52,2022-01-01
55073000300,1.31,1.44,2022-01-01
55019950600,1.31,0.54,2022-01-01
55073000602,1.31,1.77,2022-01-01
55073000700,1.31,1.49,2022-01-01
55123960100,1.31,0.4,2022-01-01
55117010400,1.31,0.23,2022-01-01
55025011402,1.31,1.03,2022-01-01
55073000601,1.31,0.78,2022-01-01
55009940001,1.31,2.05,2022-01-01
55073001600,1.31,1.14,2022-01-01
55115101000,1.31,0.7,2022-01-01
55073000100,1.31,1.6,2022-01-01
55009021400,1.31,1.1,2022-01-01
55025002401,1.31,0.97,2022-01-01
55073000200,1.31,1.43,2022-01-01
55073002000,1.31,0.53,2022-01-01
55073000500,1.31,1.54,2022-01-01
55025002602,1.31,1.77,2022-01-01
55053960100,1.31,2.73,2022-01-01
55131430100,1.31,1.31,2022-01-01
55025002402,1.31,1.27,2022-01-01
55025002302,1.31,1.05,2022-01-01
55078940101,1.31,2.98,2022-01-01
55073001900,1.31,0.84,2022-01-01
55025012900,1.31,0.41,2022-01-01
55081950800,1.31,0.28,2022-01-01
55025002500,1.31,2.46,2022-01-01
55025002301,1.31,1.07,2022-01-01
55027961600,1.31,1.1,2022-01-01
55025013000,1.31,0.72,2022-01-01
55111001100,1.31,0.79,2022-01-01
55103970100,1.31,0.57,2022-01-01
55009010300,1.31,1.41,2022-01-01
55025001704,1.31,4.48,2022-01-01
55025000205,1.31,1.33,2022-01-01
55115100100,1.31,0.58,2022-01-01
55009021100,1.31,0.0,2022-01-01
55025011401,1.31,2.16,2022-01-01
55009000402,1.31,2.42,2022-01-01
55025001606,1.31,1.05,2022-01-01
55025001101,1.31,1.07,2022-01-01
55055100100,1.31,1.15,2022-01-01
55025010300,1.31,1.41,2022-01-01
55025000902,1.31,0.97,2022-01-01
55025001605,1.31,1.28,2022-01-01
55025001603,1.31,1.37,2022-01-01
55009000600,1.31,0.87,2022-01-01
55025003100,1.31,1.34,2022-01-01
55025000800,1.31,0.89,2022-01-01
55025000901,1.31,2.33,2022-01-01
55025000300,1.31,0.71,2022-01-01
55025000201,1.31,0.82,2022-01-01
55025001200,1.31,0.86,2022-01-01
55009020503,1.31,1.24,2022-01-01
55025000202,1.31,1.07,2022-01-01
55009000303,1.31,1.73,2022-01-01
55025002900,1.31,1.2,2022-01-01
55131440200,1.31,1.48,2022-01-01
55025000204,1.31,0.99,2022-01-01
55009021200,1.31,2.05,2022-01-01
55009021000,1.31,2.41,2022-01-01
55025010904,1.31,1.45,2022-01-01
55009000302,1.31,1.55,2022-01-01
