ID,RR_C,RR_L,date
53202,2.95,3.03,2022-01-01
54479,1.3,0.86,2022-01-01
54245,1.3,0.82,2022-01-01
54303,1.3,1.55,2022-01-01
53706,1.3,0.21,2022-01-01
53792,1.3,0.0,2022-01-01
54301,1.3,1.82,2022-01-01
54648,1.3,0.0,2022-01-01
53703,1.3,1.7,2022-01-01
54230,1.3,0.63,2022-01-01
53073,1.3,0.72,2022-01-01
54313,1.3,1.94,2022-01-01
54417,1.3,0.0,2022-01-01
53528,1.3,0.61,2022-01-01
54111,1.3,0.74,2022-01-01
54232,1.3,0.0,2022-01-01
54307,1.3,0.0,2022-01-01
54651,1.3,0.0,2022-01-01
54135,1.3,2.3,2022-01-01
53718,1.3,1.73,2022-01-01
54643,1.3,0.0,2022-01-01
53714,1.3,1.69,2022-01-01
53027,1.3,1.39,2022-01-01
53001,1.3,1.36,2022-01-01
53705,1.3,0.85,2022-01-01
53726,1.3,1.06,2022-01-01
53093,1.3,0.84,2022-01-01
53719,1.3,0.96,2022-01-01
53038,1.3,0.8,2022-01-01
53086,1.3,1.75,2022-01-01
54409,1.3,1.12,2022-01-01
53503,1.3,0.43,2022-01-01
53588,1.3,0.96,2022-01-01
53036,1.3,2.13,2022-01-01
54302,1.3,0.85,2022-01-01
53713,1.3,2.07,2022-01-01
53562,1.3,1.18,2022-01-01
53003,1.3,0.0,2022-01-01
53551,1.3,0.79,2022-01-01
53531,1.3,1.84,2022-01-01
53715,1.3,1.2,2022-01-01
53527,1.3,1.24,2022-01-01
53717,1.3,1.07,2022-01-01
53515,1.3,1.49,2022-01-01
53094,1.3,1.35,2022-01-01
53090,1.3,1.28,2022-01-01
54137,1.3,1.49,2022-01-01
53716,1.3,1.22,2022-01-01
54127,1.3,0.0,2022-01-01
54403,1.3,1.25,2022-01-01
54304,1.3,1.48,2022-01-01
54426,1.3,0.66,2022-01-01
53594,1.3,1.17,2022-01-01
53924,1.3,0.0,2022-01-01
53002,1.3,1.29,2022-01-01
54155,1.3,2.25,2022-01-01
53023,1.3,0.0,2022-01-01
53597,1.3,1.42,2022-01-01
53583,1.3,0.99,2022-01-01
54670,1.3,0.0,2022-01-01
54414,1.3,0.97,2022-01-01
53034,1.3,0.98,2022-01-01
54484,1.3,0.67,2022-01-01
54110,1.3,0.95,2022-01-01
54471,1.3,1.91,2022-01-01
54107,1.3,0.0,2022-01-01
54128,1.3,0.73,2022-01-01
53016,1.3,0.0,2022-01-01
53035,1.3,1.42,2022-01-01
53598,1.3,2.51,2022-01-01
54660,1.3,0.67,2022-01-01
53010,1.3,1.51,2022-01-01
53943,1.3,0.0,2022-01-01
54449,1.3,1.2,2022-01-01
53590,1.3,0.96,2022-01-01
54171,1.3,1.74,2022-01-01
53559,1.3,1.01,2022-01-01
53098,1.3,1.17,2022-01-01
54150,1.3,1.96,2022-01-01
53011,1.3,0.59,2022-01-01
53040,1.3,1.15,2022-01-01
53078,1.3,0.99,2022-01-01
53059,1.3,1.63,2022-01-01
54408,1.3,0.43,2022-01-01
53042,1.3,1.29,2022-01-01
54450,1.3,0.0,2022-01-01
54634,1.3,0.38,2022-01-01
53020,1.3,0.22,2022-01-01
54115,1.3,1.69,2022-01-01
53047,1.3,0.0,2022-01-01
54448,1.3,1.16,2022-01-01
54401,1.3,1.48,2022-01-01
53560,1.3,0.92,2022-01-01
54207,1.3,0.0,2022-01-01
54436,1.3,0.0,2022-01-01
53704,1.3,1.5,2022-01-01
54162,1.3,1.21,2022-01-01
54420,1.3,1.34,2022-01-01
54126,1.3,0.88,2022-01-01
53937,1.3,0.0,2022-01-01
53577,1.3,0.92,2022-01-01
54124,1.3,0.99,2022-01-01
53075,1.3,1.05,2022-01-01
54173,1.3,1.15,2022-01-01
54480,1.3,1.21,2022-01-01
53074,1.3,1.55,2022-01-01
54667,1.3,0.71,2022-01-01
53089,1.3,1.98,2022-01-01
54425,1.3,0.2,2022-01-01
53022,1.3,2.13,2022-01-01
54228,1.3,1.23,2022-01-01
53538,1.3,1.03,2022-01-01
54653,1.3,2.18,2022-01-01
54437,1.3,0.42,2022-01-01
53018,1.3,1.74,2022-01-01
54452,1.3,1.04,2022-01-01
54418,1.3,0.0,2022-01-01
53081,1.3,0.88,2022-01-01
53506,1.3,0.0,2022-01-01
53582,1.3,2.93,2022-01-01
53004,1.3,1.79,2022-01-01
53178,1.3,2.47,2022-01-01
54229,1.3,0.67,2022-01-01
53070,1.3,0.95,2022-01-01
53137,1.3,0.0,2022-01-01
53507,1.3,1.39,2022-01-01
53012,1.3,1.58,2022-01-01
53058,1.3,1.54,2022-01-01
54424,1.3,0.0,2022-01-01
54614,1.3,0.64,2022-01-01
53183,1.3,1.73,2022-01-01
53518,1.3,0.0,2022-01-01
53051,1.3,1.57,2022-01-01
54493,1.3,0.0,2022-01-01
54611,1.3,0.0,2022-01-01
54460,1.3,0.96,2022-01-01
53118,1.3,1.38,2022-01-01
53533,1.3,1.27,2022-01-01
53097,1.3,2.49,2022-01-01
54139,1.3,0.79,2022-01-01
53508,1.3,0.59,2022-01-01
53072,1.3,1.74,2022-01-01
53521,1.3,0.91,2022-01-01
53534,1.3,1.34,2022-01-01
53046,1.3,2.81,2022-01-01
53024,1.3,2.12,2022-01-01
54491,1.3,1.09,2022-01-01
53573,1.3,0.55,2022-01-01
54746,1.3,0.59,2022-01-01
54652,1.3,0.0,2022-01-01
