ID,RR_C,RR_L,date
54487,2.53,5.18,2022-01-01
54895,2.53,0.0,2022-01-01
54949,2.53,2.07,2022-01-01
54466,2.53,5.07,2022-01-01
54843,2.53,4.77,2022-01-01
53143,2.79,4.12,2022-01-01
53158,2.79,3.49,2022-01-01
53140,2.79,3.96,2022-01-01
53142,2.79,2.41,2022-01-01
53144,2.79,3.32,2022-01-01
53403,2.79,1.38,2022-01-01
53104,2.79,1.34,2022-01-01
53177,2.79,3.62,2022-01-01
53405,2.79,1.72,2022-01-01
53406,2.79,2.52,2022-01-01
53404,2.79,3.41,2022-01-01
53182,2.79,2.21,2022-01-01
53168,2.79,1.65,2022-01-01
53179,2.79,0.0,2022-01-01
53402,2.79,2.18,2022-01-01
53170,2.79,6.6,2022-01-01
53139,2.79,3.14,2022-01-01
53933,2.05,1.64,2022-01-01
53916,2.05,1.62,2022-01-01
53963,2.05,2.63,2022-01-01
53935,2.05,0.0,2022-01-01
53922,2.05,8.45,2022-01-01
53931,2.05,0.0,2022-01-01
54114,2.53,0.0,2022-01-01
54494,2.53,1.85,2022-01-01
54469,2.53,8.16,2022-01-01
54124,2.53,4.07,2022-01-01
54835,2.53,0.0,2022-01-01
54174,2.53,0.0,2022-01-01
54104,2.53,5.94,2022-01-01
54726,2.53,0.0,2022-01-01
54732,2.53,0.0,2022-01-01
54867,2.53,16.21,2022-01-01
54489,2.53,0.0,2022-01-01
54458,2.53,0.0,2022-01-01
54121,2.53,0.0,2022-01-01
54436,2.53,2.92,2022-01-01
54166,2.53,2.11,2022-01-01
54819,2.53,3.07,2022-01-01
54493,2.53,11.67,2022-01-01
53946,2.05,7.16,2022-01-01
54846,2.53,0.0,2022-01-01
54559,2.53,0.0,2022-01-01
54828,2.53,9.99,2022-01-01
54119,2.53,0.0,2022-01-01
54933,2.53,0.0,2022-01-01
54727,2.53,2.76,2022-01-01
54495,2.53,5.75,2022-01-01
54977,2.53,0.0,2022-01-01
54929,2.53,0.0,2022-01-01
54748,2.53,0.0,2022-01-01
54456,2.53,1.19,2022-01-01
54406,2.53,4.09,2022-01-01
54962,2.53,0.0,2022-01-01
54855,2.53,0.0,2022-01-01
