FPIS,Observed,Expected,OE,RR,date
53001,46,56.38,0.82,0.82,2022-01-01
54512,11,25.91,0.42,0.42,2022-01-01
54513,15,11.8,1.27,1.27,2022-01-01
54514,45,53.65,0.84,0.84,2022-01-01
54515,9,13.42,0.67,0.67,2022-01-01
54517,0,3.15,0.0,0.0,2022-01-01
54519,21,37.95,0.55,0.55,2022-01-01
54520,123,128.48,0.96,0.96,2022-01-01
54521,213,236.89,0.9,0.9,2022-01-01
54524,16,18.93,0.85,0.85,2022-01-01
54511,32,36.93,0.87,0.87,2022-01-01
54525,0,7.4,0.0,0.0,2022-01-01
54527,53,25.67,2.06,2.06,2022-01-01
54529,17,35.95,0.47,0.47,2022-01-01
54530,44,24.92,1.77,1.77,2022-01-01
54531,14,41.43,0.34,0.34,2022-01-01
54534,34,68.24,0.5,0.5,2022-01-01
54536,0,5.06,0.0,0.0,2022-01-01
54537,19,14.83,1.28,1.28,2022-01-01
54538,55,88.7,0.62,0.62,2022-01-01
54539,25,37.89,0.66,0.66,2022-01-01
54526,25,21.99,1.14,1.14,2022-01-01
54540,0,27.44,0.0,0.0,2022-01-01
54501,522,597.9,0.87,0.87,2022-01-01
54498,55,71.05,0.77,0.77,2022-01-01
54471,65,53.32,1.22,1.22,2022-01-01
54473,68,79.53,0.86,0.85,2022-01-01
54474,271,116.05,2.34,2.34,2022-01-01
54475,59,47.18,1.25,1.25,2022-01-01
54476,887,569.9,1.56,1.56,2022-01-01
54479,146,119.13,1.23,1.23,2022-01-01
54480,41,42.24,0.97,0.97,2022-01-01
54481,842,857.14,0.98,0.98,2022-01-01
54482,294,299.25,0.98,0.98,2022-01-01
54499,84,89.39,0.94,0.94,2022-01-01
54484,198,153.1,1.29,1.29,2022-01-01
54486,46,57.42,0.8,0.8,2022-01-01
54487,160,284.24,0.56,0.56,2022-01-01
54488,39,36.43,1.07,1.07,2022-01-01
54489,56,49.73,1.13,1.13,2022-01-01
54490,13,22.83,0.57,0.57,2022-01-01
54491,23,46.58,0.49,0.49,2022-01-01
54493,8,17.97,0.45,0.45,2022-01-01
54494,1267,796.12,1.59,1.6,2022-01-01
54495,367,219.45,1.67,1.67,2022-01-01
54485,0,11.38,0.0,0.0,2022-01-01
54470,57,61.17,0.93,0.93,2022-01-01
54541,60,39.15,1.53,1.53,2022-01-01
54545,0,24.2,0.0,0.0,2022-01-01
54613,42,49.82,0.84,0.84,2022-01-01
54614,83,79.86,1.04,1.04,2022-01-01
54615,405,315.49,1.28,1.28,2022-01-01
54616,64,79.38,0.81,0.81,2022-01-01
54618,114,68.87,1.66,1.66,2022-01-01
54619,111,116.71,0.95,0.95,2022-01-01
54621,44,43.91,1.0,1.0,2022-01-01
54622,50,56.38,0.89,0.89,2022-01-01
54623,81,64.16,1.26,1.26,2022-01-01
54612,146,151.63,0.96,0.96,2022-01-01
54624,43,42.6,1.01,1.01,2022-01-01
54626,35,40.14,0.87,0.87,2022-01-01
54627,78,51.13,1.53,1.53,2022-01-01
54628,19,29.54,0.64,0.64,2022-01-01
54629,69,78.06,0.88,0.88,2022-01-01
54630,130,125.0,1.04,1.04,2022-01-01
54631,49,51.1,0.96,0.96,2022-01-01
54632,14,33.91,0.41,0.41,2022-01-01
54634,79,134.26,0.59,0.59,2022-01-01
54635,50,53.74,0.93,0.93,2022-01-01
54625,0,7.19,0.0,0.0,2022-01-01
54542,0,12.04,0.0,0.0,2022-01-01
54611,41,34.21,1.2,1.2,2022-01-01
54603,461,422.07,1.09,1.09,2022-01-01
54546,16,33.52,0.48,0.48,2022-01-01
54547,11,40.89,0.27,0.27,2022-01-01
54548,89,145.37,0.61,0.61,2022-01-01
54550,7,19.59,0.36,0.36,2022-01-01
54552,156,121.95,1.28,1.28,2022-01-01
54554,28,31.24,0.9,0.9,2022-01-01
54555,198,143.07,1.38,1.38,2022-01-01
54556,40,34.72,1.15,1.15,2022-01-01
54557,0,25.1,0.0,0.0,2022-01-01
54610,25,49.4,0.51,0.51,2022-01-01
54558,46,59.91,0.77,0.77,2022-01-01
54560,9,17.01,0.53,0.53,2022-01-01
54562,19,55.66,0.34,0.34,2022-01-01
54563,28,23.39,1.2,1.2,2022-01-01
54564,0,11.83,0.0,0.0,2022-01-01
54565,0,1.17,0.0,0.0,2022-01-01
54566,62,37.71,1.64,1.64,2022-01-01
54568,96,153.04,0.63,0.63,2022-01-01
54601,1319,1509.38,0.87,0.87,2022-01-01
54559,5,26.75,0.19,0.19,2022-01-01
54469,92,51.43,1.79,1.79,2022-01-01
54467,495,422.37,1.17,1.17,2022-01-01
54466,101,82.71,1.22,1.22,2022-01-01
54220,1241,1168.49,1.06,1.06,2022-01-01
54227,35,46.76,0.75,0.75,2022-01-01
54228,83,82.95,1.0,1.0,2022-01-01
54229,154,151.75,1.01,1.01,2022-01-01
54230,108,141.99,0.76,0.76,2022-01-01
54232,16,25.16,0.64,0.64,2022-01-01
54234,30,49.25,0.61,0.61,2022-01-01
54235,516,504.44,1.02,1.02,2022-01-01
54241,447,419.79,1.06,1.06,2022-01-01
54217,207,218.1,0.95,0.95,2022-01-01
54245,52,61.89,0.84,0.84,2022-01-01
54247,61,59.55,1.02,1.02,2022-01-01
54301,796,644.07,1.24,1.24,2022-01-01
54302,793,947.57,0.84,0.84,2022-01-01
54303,919,821.25,1.12,1.12,2022-01-01
54304,949,818.22,1.16,1.16,2022-01-01
54307,25,35.14,0.71,0.71,2022-01-01
54311,1117,1087.04,1.03,1.03,2022-01-01
54313,1380,1163.37,1.19,1.19,2022-01-01
54401,1239,915.1,1.35,1.36,2022-01-01
54246,13,25.46,0.51,0.51,2022-01-01
54403,1067,734.65,1.45,1.46,2022-01-01
54216,169,187.1,0.9,0.9,2022-01-01
54213,55,40.35,1.36,1.36,2022-01-01
54165,183,228.89,0.8,0.8,2022-01-01
54166,456,497.85,0.92,0.92,2022-01-01
54169,71,83.16,0.85,0.85,2022-01-01
54170,111,106.61,1.04,1.04,2022-01-01
54171,138,110.06,1.25,1.25,2022-01-01
54173,124,132.58,0.94,0.94,2022-01-01
54174,68,90.11,0.75,0.75,2022-01-01
54175,22,28.04,0.78,0.78,2022-01-01
54177,112,83.43,1.34,1.34,2022-01-01
54214,0,7.7,0.0,0.0,2022-01-01
54180,101,104.54,0.97,0.97,2022-01-01
54202,28,38.7,0.72,0.72,2022-01-01
54204,59,48.17,1.22,1.22,2022-01-01
54205,47,62.91,0.75,0.75,2022-01-01
54207,0,4.37,0.0,0.0,2022-01-01
54208,164,192.94,0.85,0.85,2022-01-01
54209,27,39.72,0.68,0.68,2022-01-01
54210,0,22.71,0.0,0.0,2022-01-01
54211,0,7.76,0.0,0.0,2022-01-01
54212,7,31.0,0.23,0.23,2022-01-01
54201,101,153.85,0.66,0.66,2022-01-01
54405,70,91.69,0.76,0.76,2022-01-01
54406,123,102.54,1.2,1.2,2022-01-01
54407,28,43.97,0.64,0.64,2022-01-01
54441,57,27.65,2.06,2.06,2022-01-01
54442,23,34.75,0.66,0.66,2022-01-01
54443,84,64.16,1.31,1.31,2022-01-01
54446,41,92.62,0.44,0.44,2022-01-01
54447,1,13.15,0.076,0.076,2022-01-01
54448,199,131.68,1.51,1.51,2022-01-01
